TRACE pc=199 n=1 ptr=1 val=1 elapsed=0.00
TRACE pc=1355 n=1 ptr=0 val=1 elapsed=0.00
TRACE pc=1355 n=2 ptr=0 val=1 elapsed=0.00
TRACE pc=1024960 n=1 ptr=49 val=1 elapsed=0.00
TRACE pc=1113992 n=1 ptr=68 val=1 elapsed=0.00
TRACE pc=1355 n=3 ptr=0 val=1 elapsed=0.00
TRACE pc=1024960 n=2 ptr=49 val=1 elapsed=0.00
TRACE pc=1113992 n=2 ptr=68 val=1 elapsed=0.00
TRACE pc=1355 n=4 ptr=0 val=1 elapsed=0.00
TRACE pc=1024960 n=3 ptr=49 val=1 elapsed=0.01
TRACE pc=1113992 n=3 ptr=68 val=1 elapsed=0.01
TRACE pc=1355 n=5 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=4 ptr=49 val=1 elapsed=0.01
TRACE pc=1097716 n=1 ptr=67 val=1 elapsed=0.01
TRACE pc=1355 n=6 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=5 ptr=49 val=1 elapsed=0.01
TRACE pc=1113992 n=4 ptr=68 val=1 elapsed=0.01
TRACE pc=1355 n=7 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=6 ptr=49 val=1 elapsed=0.01
TRACE pc=1097716 n=2 ptr=67 val=1 elapsed=0.01
TRACE pc=1355 n=8 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=7 ptr=49 val=1 elapsed=0.01
TRACE pc=1355 n=9 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=8 ptr=49 val=1 elapsed=0.01
TRACE pc=1097716 n=3 ptr=67 val=1 elapsed=0.01
TRACE pc=1355 n=10 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=9 ptr=49 val=1 elapsed=0.01
TRACE pc=1113992 n=5 ptr=68 val=1 elapsed=0.01
TRACE pc=1355 n=11 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=10 ptr=49 val=1 elapsed=0.01
TRACE pc=1113992 n=6 ptr=68 val=1 elapsed=0.01
TRACE pc=1355 n=12 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=11 ptr=49 val=1 elapsed=0.01
TRACE pc=1355 n=13 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=12 ptr=49 val=1 elapsed=0.01
TRACE pc=1113992 n=7 ptr=68 val=1 elapsed=0.01
TRACE pc=1355 n=14 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=13 ptr=49 val=1 elapsed=0.01
TRACE pc=1113992 n=8 ptr=68 val=1 elapsed=0.01
TRACE pc=1355 n=15 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=14 ptr=49 val=1 elapsed=0.01
TRACE pc=1113992 n=9 ptr=68 val=1 elapsed=0.01
TRACE pc=1355 n=16 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=15 ptr=49 val=1 elapsed=0.01
TRACE pc=1097716 n=4 ptr=67 val=1 elapsed=0.01
TRACE pc=1355 n=17 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=16 ptr=49 val=1 elapsed=0.01
TRACE pc=1097716 n=5 ptr=67 val=1 elapsed=0.01
TRACE pc=1355 n=18 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=17 ptr=49 val=1 elapsed=0.01
TRACE pc=1355 n=19 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=18 ptr=49 val=1 elapsed=0.01
TRACE pc=1097716 n=6 ptr=67 val=1 elapsed=0.01
TRACE pc=1355 n=20 ptr=0 val=1 elapsed=0.01
TRACE pc=1024960 n=19 ptr=49 val=1 elapsed=0.01
TRACE pc=1113992 n=10 ptr=68 val=1 elapsed=0.01
TRACE pc=1024960 n=20 ptr=49 val=1 elapsed=0.01
TRACE pc=1097716 n=7 ptr=67 val=1 elapsed=0.01
TRACE pc=1113992 n=11 ptr=68 val=1 elapsed=0.01
TRACE pc=1113992 n=12 ptr=68 val=1 elapsed=0.01
TRACE pc=1113992 n=13 ptr=68 val=1 elapsed=0.01
TRACE pc=1097716 n=8 ptr=67 val=1 elapsed=0.01
TRACE pc=1113992 n=14 ptr=68 val=1 elapsed=0.01
TRACE pc=1097716 n=9 ptr=67 val=1 elapsed=0.01
TRACE pc=1097716 n=10 ptr=67 val=1 elapsed=0.01
TRACE pc=1113992 n=15 ptr=68 val=1 elapsed=0.01
TRACE pc=1113992 n=16 ptr=68 val=1 elapsed=0.01
TRACE pc=1097716 n=11 ptr=67 val=1 elapsed=0.01
TRACE pc=1113992 n=17 ptr=68 val=1 elapsed=0.01
TRACE pc=1097716 n=12 ptr=67 val=1 elapsed=0.01
TRACE pc=1097716 n=13 ptr=67 val=1 elapsed=0.01
TRACE pc=1097716 n=14 ptr=67 val=1 elapsed=0.01
TRACE pc=1113992 n=18 ptr=68 val=1 elapsed=0.01
TRACE pc=1097716 n=15 ptr=67 val=1 elapsed=0.01
TRACE pc=1097716 n=16 ptr=67 val=1 elapsed=0.01
TRACE pc=1113992 n=19 ptr=68 val=1 elapsed=0.01
TRACE pc=1097716 n=17 ptr=67 val=1 elapsed=0.01
TRACE pc=1113992 n=20 ptr=68 val=1 elapsed=0.02
TRACE pc=1097716 n=18 ptr=67 val=1 elapsed=0.02
TRACE pc=1097716 n=19 ptr=67 val=1 elapsed=0.02
TRACE pc=1355 n=50 ptr=0 val=1 elapsed=0.02
TRACE pc=1097716 n=20 ptr=67 val=1 elapsed=0.02
TRACE pc=1024960 n=50 ptr=49 val=1 elapsed=0.02
TRACE pc=1355 n=100 ptr=0 val=1 elapsed=0.02
TRACE pc=1113992 n=50 ptr=68 val=1 elapsed=0.02
TRACE pc=1097716 n=50 ptr=67 val=1 elapsed=0.02
TRACE pc=1355 n=200 ptr=0 val=1 elapsed=0.02
TRACE pc=1097716 n=100 ptr=67 val=1 elapsed=0.02
TRACE pc=1024960 n=100 ptr=49 val=1 elapsed=0.02
TRACE pc=1113992 n=100 ptr=68 val=1 elapsed=0.02
TRACE pc=1113992 n=200 ptr=68 val=1 elapsed=0.02
TRACE pc=1355 n=500 ptr=0 val=1 elapsed=0.02
TRACE pc=1113992 n=500 ptr=68 val=1 elapsed=0.02
TRACE pc=1355 n=1000 ptr=0 val=1 elapsed=0.02
TRACE pc=1113992 n=1000 ptr=68 val=1 elapsed=0.02
TRACE pc=1355 n=2000 ptr=0 val=1 elapsed=0.03
TRACE pc=1113992 n=2000 ptr=68 val=1 elapsed=0.03
TRACE pc=1024960 n=200 ptr=49 val=1 elapsed=0.04
TRACE pc=1097716 n=200 ptr=67 val=1 elapsed=0.04
TRACE pc=1355 n=5000 ptr=0 val=1 elapsed=0.05
TRACE pc=1097716 n=500 ptr=67 val=1 elapsed=0.05
TRACE pc=1097716 n=1000 ptr=67 val=1 elapsed=0.06
TRACE pc=1113992 n=5000 ptr=68 val=1 elapsed=0.06
TRACE pc=1024960 n=500 ptr=49 val=1 elapsed=0.06
TRACE pc=1097716 n=2000 ptr=67 val=1 elapsed=0.07
TRACE pc=1355 n=10000 ptr=0 val=1 elapsed=0.09
TRACE pc=1097716 n=5000 ptr=67 val=1 elapsed=0.11
TRACE pc=1024960 n=1000 ptr=49 val=1 elapsed=0.12
TRACE pc=1113992 n=10000 ptr=68 val=1 elapsed=0.14
TRACE pc=1097716 n=10000 ptr=67 val=1 elapsed=0.20
