2026-04-16 05:24:53 startup archives install
2026-04-16 05:24:53 install base-passwd:amd64 <none> 3.6.7
2026-04-16 05:24:53 status half-installed base-passwd:amd64 3.6.7
2026-04-16 05:24:53 status unpacked base-passwd:amd64 3.6.7
2026-04-16 05:24:53 configure base-passwd:amd64 3.6.7 3.6.7
2026-04-16 05:24:53 status half-configured base-passwd:amd64 3.6.7
2026-04-16 05:24:53 status installed base-passwd:amd64 3.6.7
2026-04-16 05:24:53 startup archives install
2026-04-16 05:24:53 install base-files:amd64 <none> 13.8+deb13u4
2026-04-16 05:24:53 status half-installed base-files:amd64 13.8+deb13u4
2026-04-16 05:24:53 status unpacked base-files:amd64 13.8+deb13u4
2026-04-16 05:24:53 configure base-files:amd64 13.8+deb13u4 13.8+deb13u4
2026-04-16 05:24:53 status half-configured base-files:amd64 13.8+deb13u4
2026-04-16 05:24:53 status installed base-files:amd64 13.8+deb13u4
2026-04-16 05:24:53 startup archives install
2026-04-16 05:24:53 upgrade dpkg 1.22.22 1.22.22
2026-04-16 05:24:53 status half-configured dpkg 1.22.22
2026-04-16 05:24:53 status unpacked dpkg 1.22.22
2026-04-16 05:24:53 status half-installed dpkg 1.22.22
2026-04-16 05:24:54 status unpacked dpkg:amd64 1.22.22
2026-04-16 05:24:54 configure dpkg:amd64 1.22.22 1.22.22
2026-04-16 05:24:54 status half-configured dpkg:amd64 1.22.22
2026-04-16 05:24:54 status installed dpkg:amd64 1.22.22
2026-04-16 05:24:54 startup archives install
2026-04-16 05:24:54 install libc6:amd64 <none> 2.41-12+deb13u2
2026-04-16 05:24:54 status half-installed libc6:amd64 2.41-12+deb13u2
2026-04-16 05:24:55 status unpacked libc6:amd64 2.41-12+deb13u2
2026-04-16 05:24:55 configure libc6:amd64 2.41-12+deb13u2 2.41-12+deb13u2
2026-04-16 05:24:55 status half-configured libc6:amd64 2.41-12+deb13u2
2026-04-16 05:24:55 status installed libc6:amd64 2.41-12+deb13u2
2026-04-16 05:24:55 startup archives install
2026-04-16 05:24:55 install perl-base:amd64 <none> 5.40.1-6
2026-04-16 05:24:55 status half-installed perl-base:amd64 5.40.1-6
2026-04-16 05:24:56 status unpacked perl-base:amd64 5.40.1-6
