51.255.65.35 - - [27/May/2017:00:00:22 +0800] "GET /sxzn/foreground/viewMetadata.action?id=59 HTTP/1.1" 200 9467
58.32.44.98 - - [27/May/2017:00:00:50 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [27/May/2017:00:00:50 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
125.66.152.161 - - [27/May/2017:00:01:25 +0800] "GET http://1212.ip138.com/ic.asp HTTP/1.1" 404 973
61.149.81.22 - - [27/May/2017:00:02:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [27/May/2017:00:02:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
113.95.12.85 - - [27/May/2017:00:03:26 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [27/May/2017:00:03:26 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [27/May/2017:00:04:26 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [27/May/2017:00:04:26 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [27/May/2017:00:05:50 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [27/May/2017:00:05:50 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [27/May/2017:00:07:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [27/May/2017:00:07:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
113.95.12.85 - - [27/May/2017:00:08:25 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [27/May/2017:00:08:26 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [27/May/2017:00:09:06 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [27/May/2017:00:09:06 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [27/May/2017:00:10:49 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [27/May/2017:00:10:50 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [27/May/2017:00:12:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [27/May/2017:00:12:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
113.95.12.85 - - [27/May/2017:00:13:25 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [27/May/2017:00:13:26 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [27/May/2017:00:14:06 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [27/May/2017:00:14:06 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
125.66.152.161 - - [27/May/2017:00:14:47 +0800] "GET http://1212.ip138.com/ic.asp HTTP/1.1" 404 973
61.149.81.22 - - [27/May/2017:00:17:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [27/May/2017:00:17:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
113.95.12.85 - - [27/May/2017:00:18:26 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [27/May/2017:00:18:26 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [27/May/2017:00:19:06 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [27/May/2017:00:19:06 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.137.56 - - [27/May/2017:00:20:22 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=8B2A27F9E896E8DFF5B08AC1661DEDE9 HTTP/1.1" 200 26368
42.156.138.56 - - [27/May/2017:00:20:23 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=A1E05C28B1248372BD01E890F57B382C HTTP/1.1" 200 26368
42.156.139.56 - - [27/May/2017:00:20:23 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=001801BE9CB171AF83954FB073D7C84C HTTP/1.1" 200 26368
42.120.161.56 - - [27/May/2017:00:20:24 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=7F574B29B7959BA51285F7F2C1079C54 HTTP/1.1" 200 26368
42.156.136.56 - - [27/May/2017:00:20:25 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=F9521E43D82104F9D9CCFE093A4CCC0C HTTP/1.1" 200 26368
42.156.139.56 - - [27/May/2017:00:20:25 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E575D7A37C2252E07015B6F7951D7637 HTTP/1.1" 200 26368
42.120.161.56 - - [27/May/2017:00:20:26 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=766AA0B9CE0CC545208B125C9F1FF2EB HTTP/1.1" 200 26368
42.156.136.56 - - [27/May/2017:00:20:27 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=BD2445D7E5DA54C855A4653A09864819 HTTP/1.1" 200 26368
42.156.137.56 - - [27/May/2017:00:20:27 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=222411EE10CCA9932F6F3E0BCB3F3B50 HTTP/1.1" 200 26368
42.120.160.56 - - [27/May/2017:00:20:28 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=7575B52A60CE59828FBA902234719EA0 HTTP/1.1" 200 26368
183.222.133.214 - - [27/May/2017:00:22:05 +0800] "GET /clim/images/pretty2.jpg HTTP/1.1" 200 23317
183.222.133.214 - - [27/May/2017:00:22:05 +0800] "GET /clim/images/climintro4.jpg HTTP/1.1" 200 29824
61.149.81.22 - - [27/May/2017:00:22:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [27/May/2017:00:22:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
183.222.133.214 - - [27/May/2017:00:22:38 +0800] "GET /clim/images/climintro2.jpg HTTP/1.1" 200 11519
113.95.12.85 - - [27/May/2017:00:23:25 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [27/May/2017:00:23:25 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.138.56 - - [27/May/2017:00:23:41 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=CBFF398582702873A6F1FF537E0DE3FF HTTP/1.1" 200 26368
42.156.139.56 - - [27/May/2017:00:23:41 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=EAFBE1E70A385C8C70BE284D96A5D211 HTTP/1.1" 200 26368
42.120.161.56 - - [27/May/2017:00:23:42 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=7FA96CA7DBDB95E55A77428E68C99F7A HTTP/1.1" 200 26368
42.156.136.56 - - [27/May/2017:00:23:42 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=534D50A0EDB771741BAB87C45E134238 HTTP/1.1" 200 26368
42.156.137.56 - - [27/May/2017:00:23:43 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=95AAE491B6C3044B10B80488927AAE41 HTTP/1.1" 200 26368
42.120.160.56 - - [27/May/2017:00:23:47 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=AC6E2F14A38DE538ECE858134A0222BA HTTP/1.1" 200 26368
42.156.138.56 - - [27/May/2017:00:23:48 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=6003F49811918C26DD8BFAF0EC5EF9AD HTTP/1.1" 200 26368
42.156.139.56 - - [27/May/2017:00:23:48 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=4D2C183BF65CCE88C20D42F6904A4DD9 HTTP/1.1" 200 26368
42.120.161.56 - - [27/May/2017:00:23:49 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E9077B9F2C0E97F9FD2D179F71DBEF45 HTTP/1.1" 200 26368
42.156.136.56 - - [27/May/2017:00:23:50 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E70A6CE33F039F933CE7B5DF90252786 HTTP/1.1" 200 26368
111.192.102.34 - - [27/May/2017:00:24:05 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [27/May/2017:00:24:06 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [27/May/2017:00:25:49 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [27/May/2017:00:25:50 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.137.56 - - [27/May/2017:00:27:00 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=D69B11505A70E5A70DA6689D204EC3B6 HTTP/1.1" 200 26368
42.120.160.56 - - [27/May/2017:00:27:01 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=766343CEB78DB4EDDF28D58EF1F8529B HTTP/1.1" 200 26368
42.156.138.56 - - [27/May/2017:00:27:01 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=365EFBDCB04A2D11C77F47EC1C328832 HTTP/1.1" 200 26368
42.156.139.56 - - [27/May/2017:00:27:02 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=C5D80F6B22A477D6F875D0F1AA0D4821 HTTP/1.1" 200 26368
42.120.161.56 - - [27/May/2017:00:27:03 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=41854234FF60AEF50DE63D3B8DFC329B HTTP/1.1" 200 26368
42.120.161.56 - - [27/May/2017:00:27:06 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=552149D90E37F0E92C8DCF66B38F6CB3 HTTP/1.1" 200 26368
42.156.136.56 - - [27/May/2017:00:27:08 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=D609CDBDB347ECA76D1B734E24E81410 HTTP/1.1" 200 26368
42.156.137.56 - - [27/May/2017:00:27:08 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=7F245D21C39EBA132D88EC316BC96539 HTTP/1.1" 200 26368
42.120.160.56 - - [27/May/2017:00:27:09 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=8CE6CFB1A25FD2ABE33D1ECCE87D9996 HTTP/1.1" 200 26368
42.156.138.56 - - [27/May/2017:00:27:09 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=04A92CFDA538BA993D608E9D5786B5DE HTTP/1.1" 200 26368
61.149.81.22 - - [27/May/2017:00:27:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [27/May/2017:00:27:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
125.66.152.161 - - [27/May/2017:00:27:50 +0800] "GET http://1212.ip138.com/ic.asp HTTP/1.1" 404 973
113.95.12.85 - - [27/May/2017:00:28:25 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [27/May/2017:00:28:26 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [27/May/2017:00:29:05 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [27/May/2017:00:29:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.138.56 - - [27/May/2017:00:30:39 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=1D06048478B5E501DCA8062CB49D4738 HTTP/1.1" 200 26368
42.156.139.56 - - [27/May/2017:00:30:41 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=4BFF4ABF910B68F1C45D9CDCAEEE64CA HTTP/1.1" 200 26368
42.120.161.56 - - [27/May/2017:00:30:41 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=B459764AE028AEA26A52594959845B76 HTTP/1.1" 200 26368
42.156.136.56 - - [27/May/2017:00:30:41 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=F969C3F83306153CC50D69B5E1565811 HTTP/1.1" 200 26368
42.156.137.56 - - [27/May/2017:00:30:42 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=600606EA39AFC30B508A2252A31D1F3C HTTP/1.1" 200 26368
42.120.160.56 - - [27/May/2017:00:30:47 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=66D4162EEB381A68B8E91A07C228300B HTTP/1.1" 200 26368
42.156.138.56 - - [27/May/2017:00:30:47 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=2DF83BF83702EB530BE92DDB77D74313 HTTP/1.1" 200 26368
42.156.137.56 - - [27/May/2017:00:30:48 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=1A24B8D5DD677E7BE151A8BBA7FF2966 HTTP/1.1" 200 26368
