113.140.84.108 - - [10/Dec/2014:00:00:23 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 200 2013696
61.149.12.161 - - [10/Dec/2014:00:01:13 +0800] "GET / HTTP/1.1" 302 -
61.149.12.161 - - [10/Dec/2014:00:01:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Dec/2014:00:03:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Dec/2014:00:03:47 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [10/Dec/2014:00:04:15 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [10/Dec/2014:00:04:15 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
36.45.191.252 - - [10/Dec/2014:00:06:43 +0800] "GET / HTTP/1.1" 302 -
36.45.191.252 - - [10/Dec/2014:00:06:43 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/images/doc_02.gif HTTP/1.1" 200 55
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/css/index.css HTTP/1.1" 200 1730
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/images/banner.jpg HTTP/1.1" 200 38590
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/images/Search_icon.gif HTTP/1.1" 200 344
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1211
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/css/layout.css HTTP/1.1" 200 6591
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/images/new.gif HTTP/1.1" 200 1816
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/images/point.gif HTTP/1.1" 200 134
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/images/options.png HTTP/1.1" 200 615
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/images/bg.jpg HTTP/1.1" 200 19679
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/images/leftSubTitle_bg.gif HTTP/1.1" 200 53
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/images/zh-cn.gif HTTP/1.1" 200 891
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/images/banner_home.jpg HTTP/1.1" 200 50428
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/images/icon.gif HTTP/1.1" 200 119
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/images/yonghu.jpg HTTP/1.1" 200 31309
36.45.191.252 - - [10/Dec/2014:00:06:44 +0800] "GET /sxzn/images/new1.gif HTTP/1.1" 200 1724
36.45.191.252 - - [10/Dec/2014:00:07:21 +0800] "GET /sxzn/foreground/browseMetadata.action HTTP/1.1" 200 25884
36.45.191.252 - - [10/Dec/2014:00:07:21 +0800] "GET /sxzn/css/displaytag.css HTTP/1.1" 200 2309
36.45.191.252 - - [10/Dec/2014:00:07:21 +0800] "GET /sxzn/js/MzTreeView10.js HTTP/1.1" 200 24098
36.45.191.252 - - [10/Dec/2014:00:07:21 +0800] "GET /sxzn/js/images_mz/L0.gif HTTP/1.1" 200 66
36.45.191.252 - - [10/Dec/2014:00:07:21 +0800] "GET /sxzn/js/images_mz/L1.gif HTTP/1.1" 200 73
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/L2.gif HTTP/1.1" 200 68
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/P2.gif HTTP/1.1" 200 163
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/P3.gif HTTP/1.1" 200 159
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/L5.gif HTTP/1.1" 200 58
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/P0.gif HTTP/1.1" 200 163
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/root.gif HTTP/1.1" 200 173
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/folder.gif HTTP/1.1" 200 170
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/M0.gif HTTP/1.1" 200 159
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/M1.gif HTTP/1.1" 200 163
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/M2.gif HTTP/1.1" 200 159
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/M3.gif HTTP/1.1" 200 156
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/folderopen.gif HTTP/1.1" 200 126
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/L4.gif HTTP/1.1" 200 69
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/file.gif HTTP/1.1" 200 942
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/L3.gif HTTP/1.1" 200 63
36.45.191.252 - - [10/Dec/2014:00:07:22 +0800] "GET /sxzn/js/images_mz/P1.gif HTTP/1.1" 200 166
113.140.84.108 - - [10/Dec/2014:00:07:29 +0800] "GET /sxzn/foreground/userInfo.action HTTP/1.1" 200 7551
113.140.84.108 - - [10/Dec/2014:00:07:29 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
113.140.84.108 - - [10/Dec/2014:00:07:33 +0800] "GET /sxzn/foreground/modifyUserInfo.action HTTP/1.1" 200 19290
113.140.84.108 - - [10/Dec/2014:00:07:33 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
36.45.191.252 - - [10/Dec/2014:00:07:57 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
36.45.191.252 - - [10/Dec/2014:00:07:56 +0800] "GET /sxzn/foreground/browseMetadata.action HTTP/1.1" 200 25884
36.45.191.252 - - [10/Dec/2014:00:08:01 +0800] "GET /sxzn/foreground/browseMetadata.action?id=20 HTTP/1.1" 200 16380
36.45.191.252 - - [10/Dec/2014:00:08:01 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
113.140.84.108 - - [10/Dec/2014:00:08:09 +0800] "POST /sxzn/foreground/doModifyUserInfo.action HTTP/1.1" 200 1526
36.45.191.252 - - [10/Dec/2014:00:08:12 +0800] "GET /sxzn/foreground/browseMetadata.action?id=55 HTTP/1.1" 200 16910
36.45.191.252 - - [10/Dec/2014:00:08:12 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
113.140.84.108 - - [10/Dec/2014:00:08:14 +0800] "GET /sxzn/foreground/userInfo.action HTTP/1.1" 200 7551
113.140.84.108 - - [10/Dec/2014:00:08:14 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
113.140.84.108 - - [10/Dec/2014:00:08:16 +0800] "GET /sxzn/foreground/getUserEvent.action HTTP/1.1" 200 6434
113.140.84.108 - - [10/Dec/2014:00:08:16 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
113.140.84.108 - - [10/Dec/2014:00:08:18 +0800] "GET /sxzn/foreground/getAdvancedAuth.action HTTP/1.1" 200 9377
113.140.84.108 - - [10/Dec/2014:00:08:18 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
36.45.191.252 - - [10/Dec/2014:00:08:20 +0800] "GET /sxzn/foreground/browseMetadata.action?id=54 HTTP/1.1" 200 17972
36.45.191.252 - - [10/Dec/2014:00:08:21 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
113.140.84.108 - - [10/Dec/2014:00:08:25 +0800] "GET /sxzn/aboutSXZN.jsp HTTP/1.1" 200 7574
113.140.84.108 - - [10/Dec/2014:00:08:27 +0800] "GET /sxzn/js/jquery-1.4.2.min.js HTTP/1.1" 200 72174
61.149.81.22 - - [10/Dec/2014:00:08:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Dec/2014:00:08:47 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
113.140.28.66 - - [10/Dec/2014:00:08:53 +0800] "GET /sxzn/foreground/selectResult.jsp HTTP/1.1" 200 6231
36.45.191.252 - - [10/Dec/2014:00:08:58 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
36.45.191.252 - - [10/Dec/2014:00:08:58 +0800] "GET /sxzn/foreground/browseMetadata.action?id=26 HTTP/1.1" 200 12989
113.140.28.66 - - [10/Dec/2014:00:09:00 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18240
36.45.191.252 - - [10/Dec/2014:00:09:09 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
36.45.191.252 - - [10/Dec/2014:00:09:08 +0800] "GET /sxzn/foreground/browseMetadata.action?id=25 HTTP/1.1" 200 24590
113.140.84.108 - - [10/Dec/2014:00:09:09 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
113.140.84.108 - - [10/Dec/2014:00:09:09 +0800] "GET /sxzn/foreground/browseMetadata.action HTTP/1.1" 200 26204
113.140.84.108 - - [10/Dec/2014:00:09:12 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
113.140.84.108 - - [10/Dec/2014:00:09:12 +0800] "GET /sxzn/foreground/browseMetadata.action?id=15 HTTP/1.1" 200 17681
61.149.37.106 - - [10/Dec/2014:00:09:16 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [10/Dec/2014:00:09:16 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
113.140.84.108 - - [10/Dec/2014:00:09:21 +0800] "GET /sxzn/foreground/viewMetadata.action?id=186 HTTP/1.1" 200 9445
36.45.191.252 - - [10/Dec/2014:00:09:29 +0800] "GET /sxzn/foreground/browseMetadata.action?id=20 HTTP/1.1" 200 16380
36.45.191.252 - - [10/Dec/2014:00:09:29 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
113.140.84.108 - - [10/Dec/2014:00:09:32 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=186 HTTP/1.1" 200 6232
113.140.28.66 - - [10/Dec/2014:00:09:41 +0800] "GET /sxzn/foreground/viewDataset.action?id=2332 HTTP/1.1" 200 1580
113.140.28.66 - - [10/Dec/2014:00:09:41 +0800] "GET /sxzn/images/messagePage/error.gif HTTP/1.1" 200 215
113.140.28.66 - - [10/Dec/2014:00:09:41 +0800] "GET /sxzn/images/messagePage/error.gif HTTP/1.1" 200 215
36.45.191.252 - - [10/Dec/2014:00:09:45 +0800] "GET /sxzn/foreground/selectResult.jsp HTTP/1.1" 200 5911
