66.249.75.124 - - [09/Feb/2015:00:00:26 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=ABFB6766828D871F1EBA28F392A913D2?d-49747-p=6 HTTP/1.1" 200 25067
61.149.81.22 - - [09/Feb/2015:00:02:55 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:02:55 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:00:04:57 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:04:57 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:00:07:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:07:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:00:09:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:09:49 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:00:12:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:12:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:00:14:57 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:15:00 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
188.165.15.236 - - [09/Feb/2015:00:16:07 +0800] "GET /sxzn/viewMetadata.action?id=70 HTTP/1.1" 200 9290
61.149.81.22 - - [09/Feb/2015:00:17:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:17:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:00:19:49 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:19:49 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
188.165.15.236 - - [09/Feb/2015:00:20:42 +0800] "GET /sxzn/listDataOfMD.action?id=12 HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:22:54 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:22:54 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:00:24:33 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:24:33 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:00:27:53 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:27:53 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:00:29:43 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:29:43 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:00:32:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:32:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:00:34:50 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:34:59 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:00:37:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:37:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
68.180.228.88 - - [09/Feb/2015:00:39:43 +0800] "GET /tlp/user/index.jsp HTTP/1.1" 200 644
68.180.228.88 - - [09/Feb/2015:00:39:44 +0800] "GET /tlp/top.jsp HTTP/1.1" 500 2630
68.180.228.88 - - [09/Feb/2015:00:39:45 +0800] "GET /tlp/user/left.jsp HTTP/1.1" 200 17528
68.180.228.88 - - [09/Feb/2015:00:39:46 +0800] "GET /tlp/riverintro.jsp HTTP/1.1" 200 2524
61.149.81.22 - - [09/Feb/2015:00:40:00 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:40:00 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:00:42:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:42:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
188.165.15.196 - - [09/Feb/2015:00:43:21 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=68 HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:47:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:47:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:00:49:28 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:49:28 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:00:49:51 +0800] "-" 408 -
61.149.81.22 - - [09/Feb/2015:00:52:54 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:52:54 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
101.226.169.211 - - [09/Feb/2015:00:52:55 +0800] "GET /sxzn/browseMetadata.action?d-49747-p=2 HTTP/1.1" 200 25416
188.165.15.236 - - [09/Feb/2015:00:54:43 +0800] "GET /sxzn/listDataOfMD.action?id=53 HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:54:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:54:46 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
180.76.4.232 - - [09/Feb/2015:00:55:07 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:57:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:57:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
101.226.168.207 - - [09/Feb/2015:00:58:06 +0800] "GET / HTTP/1.1" 302 -
101.226.168.207 - - [09/Feb/2015:00:58:06 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
220.181.108.169 - - [09/Feb/2015:00:59:01 +0800] "GET / HTTP/1.1" 302 -
111.206.71.69 - - [09/Feb/2015:00:59:05 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:59:32 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:00:59:35 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:02:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:02:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:07:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:07:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:09:41 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:09:41 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:09:57 +0800] "-" 408 -
61.149.81.22 - - [09/Feb/2015:01:12:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:12:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:14:41 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:14:41 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.75.140 - - [09/Feb/2015:01:16:13 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=ABFB6766828D871F1EBA28F392A913D2?d-49747-p=4 HTTP/1.1" 200 25467
61.149.81.22 - - [09/Feb/2015:01:17:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:17:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:20:10 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:20:10 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:22:53 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:22:53 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:24:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:24:49 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
23.94.17.82 - - [09/Feb/2015:01:25:07 +0800] "GET //phpMyAdmin/scripts/setup.php HTTP/1.1" 404 1039
23.94.17.82 - - [09/Feb/2015:01:25:08 +0800] "GET //phpmyadmin/scripts/setup.php HTTP/1.1" 404 1039
23.94.17.82 - - [09/Feb/2015:01:25:11 +0800] "GET //myadmin/scripts/setup.php HTTP/1.1" 404 1030
23.94.17.82 - - [09/Feb/2015:01:25:12 +0800] "GET //MyAdmin/scripts/setup.php HTTP/1.1" 404 1030
182.118.53.124 - - [09/Feb/2015:01:25:14 +0800] "GET / HTTP/1.1" 302 -
182.118.53.124 - - [09/Feb/2015:01:25:14 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18522
61.149.81.22 - - [09/Feb/2015:01:27:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:27:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:29:34 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:29:34 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:32:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:32:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:35:04 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:35:04 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:37:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:37:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
