66.249.79.99 - - [10/Feb/2015:00:00:22 +0800] "GET /http_type/tm/html/docments/LT41230361989042XXX03%20Metadata.htm HTTP/1.1" 404 259
61.149.81.22 - - [10/Feb/2015:00:02:49 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:02:49 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:00:04:28 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:04:28 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
157.55.39.167 - - [10/Feb/2015:00:05:27 +0800] "GET /zszx/map/photo/cgzai/cgndys.bmp HTTP/1.1" 200 867098
111.206.71.107 - - [10/Feb/2015:00:07:23 +0800] "GET / HTTP/1.1" 302 -
220.181.108.140 - - [10/Feb/2015:00:07:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:07:50 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:07:50 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:00:09:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:09:46 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
202.108.1.205 - - [10/Feb/2015:00:11:19 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=983FCBBB0C5BC8BDB7129E495F275A80 HTTP/1.1" 200 26368
61.149.81.22 - - [10/Feb/2015:00:12:48 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:12:48 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Feb/2015:00:14:54 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Feb/2015:00:14:54 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
