111.206.71.73 - - [01/Apr/2015:00:02:09 +0800] "GET /tlp/user/images/riverintro2.gif HTTP/1.1" 404 229
61.149.81.22 - - [01/Apr/2015:00:02:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:02:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
198.154.104.42 - - [01/Apr/2015:00:03:44 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=3DE144B692A9E82E593B641FDBE3CD17 HTTP/1.1" 200 26368
61.149.81.22 - - [01/Apr/2015:00:04:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:04:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:07:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:07:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
188.165.15.108 - - [01/Apr/2015:00:08:12 +0800] "GET /sxzn/viewMetadata.action?id=92 HTTP/1.1" 200 9300
61.149.81.22 - - [01/Apr/2015:00:09:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:09:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:12:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:12:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:14:55 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:14:55 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:17:14 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:17:14 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:19:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:19:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
