122.224.8.98 - - [30/Jun/2015:00:00:21 +0800] "HEAD /ckfinder HTTP/1.1" 404 -
111.192.102.34 - - [30/Jun/2015:00:00:38 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:00:00:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.12.161 - - [30/Jun/2015:00:00:47 +0800] "GET / HTTP/1.1" 302 -
61.149.12.161 - - [30/Jun/2015:00:00:47 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [30/Jun/2015:00:01:24 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:01:25 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
112.124.127.44 - - [30/Jun/2015:00:02:48 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:03:24 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:03:24 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [30/Jun/2015:00:04:11 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:00:04:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.203.70 - - [30/Jun/2015:00:04:44 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:04:54 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:04:55 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.192.102.34 - - [30/Jun/2015:00:05:38 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:00:05:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
66.249.75.77 - - [30/Jun/2015:00:06:01 +0800] "GET / HTTP/1.1" 302 -
66.249.75.77 - - [30/Jun/2015:00:06:02 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18522
61.149.81.22 - - [30/Jun/2015:00:06:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:06:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
112.124.127.44 - - [30/Jun/2015:00:07:47 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:08:24 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:08:25 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [30/Jun/2015:00:09:11 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:00:09:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.203.70 - - [30/Jun/2015:00:09:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:09:54 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:09:54 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.192.102.34 - - [30/Jun/2015:00:10:38 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:00:10:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [30/Jun/2015:00:11:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:11:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
112.124.127.44 - - [30/Jun/2015:00:12:47 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:13:24 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:13:24 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [30/Jun/2015:00:14:11 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:00:14:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.203.70 - - [30/Jun/2015:00:14:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:14:54 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:14:54 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.75.69 - - [30/Jun/2015:00:15:03 +0800] "GET /start_ks/jiaoyu/index4_2.html HTTP/1.1" 304 -
111.192.102.34 - - [30/Jun/2015:00:15:38 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:00:15:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [30/Jun/2015:00:16:19 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:16:19 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
112.124.127.44 - - [30/Jun/2015:00:17:47 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:18:24 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:18:25 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [30/Jun/2015:00:19:11 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:00:19:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.203.70 - - [30/Jun/2015:00:19:48 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:19:54 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:19:54 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.192.102.34 - - [30/Jun/2015:00:20:39 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:00:20:39 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [30/Jun/2015:00:21:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:21:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
112.124.127.44 - - [30/Jun/2015:00:22:47 +0800] "GET / HTTP/1.1" 302 -
61.159.159.108 - - [30/Jun/2015:00:22:37 +0800] "GET /zszx/map/photo/80huagtu/plhnjmsl.bmp HTTP/1.1" 200 867098
58.32.44.98 - - [30/Jun/2015:00:23:24 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:23:24 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.206.71.31 - - [30/Jun/2015:00:23:52 +0800] "GET /sxzn/foreground/viewMetadata.action?id=105 HTTP/1.1" 200 9149
113.95.12.85 - - [30/Jun/2015:00:24:11 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:00:24:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.203.70 - - [30/Jun/2015:00:24:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:24:54 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:24:55 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.192.102.34 - - [30/Jun/2015:00:25:38 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:00:25:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [30/Jun/2015:00:26:19 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:26:19 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
112.124.127.44 - - [30/Jun/2015:00:27:47 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:28:24 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:28:25 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
180.76.15.136 - - [30/Jun/2015:00:28:59 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:00:29:11 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:00:29:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
180.76.15.137 - - [30/Jun/2015:00:29:28 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:29:48 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:29:48 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18585
61.149.81.22 - - [30/Jun/2015:00:29:54 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:29:54 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.192.102.34 - - [30/Jun/2015:00:30:38 +0800] "HEAD / HTTP/1.1" 302 -
