117.81.88.141 - - [10/Oct/2015:00:00:27 +0800] "GET /zszx/map/photo/90huangtu/rain.bmp HTTP/1.1" 200 867098
61.149.12.161 - - [10/Oct/2015:00:00:37 +0800] "GET / HTTP/1.1" 302 -
61.149.12.161 - - [10/Oct/2015:00:00:37 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [10/Oct/2015:00:01:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:00:01:04 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [10/Oct/2015:00:02:14 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:02:15 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:00:02:19 +0800] "GET / HTTP/1.1" 302 -
112.124.127.64 - - [10/Oct/2015:00:03:44 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:04:06 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:04:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:00:04:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:00:04:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [10/Oct/2015:00:06:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:00:06:04 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.206.71.57 - - [10/Oct/2015:00:07:11 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:07:15 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:07:15 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:00:07:19 +0800] "GET / HTTP/1.1" 302 -
220.181.108.112 - - [10/Oct/2015:00:07:56 +0800] "GET / HTTP/1.1" 302 -
112.124.127.64 - - [10/Oct/2015:00:08:44 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:09:07 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:09:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:00:09:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:00:09:09 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.206.71.27 - - [10/Oct/2015:00:09:57 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.104.35.220 - - [10/Oct/2015:00:10:17 +0800] "GET /zszx/start_ks/jiaoyu/desert_type/008.JPG HTTP/1.1" 404 1069
68.180.229.54 - - [10/Oct/2015:00:10:24 +0800] "GET /robots.txt HTTP/1.1" 200 68
68.180.229.54 - - [10/Oct/2015:00:10:25 +0800] "GET /sxzn/foreground/viewMetadata.action?id=214 HTTP/1.1" 200 9252
220.181.108.101 - - [10/Oct/2015:00:10:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [10/Oct/2015:00:11:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:00:11:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [10/Oct/2015:00:12:14 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:12:14 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:00:12:19 +0800] "GET / HTTP/1.1" 302 -
112.124.127.64 - - [10/Oct/2015:00:13:44 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:14:06 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:14:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:00:14:18 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:00:14:18 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
68.180.229.54 - - [10/Oct/2015:00:14:29 +0800] "GET /sxzn/foreground/browseMetadata.action?d-49747-p=8 HTTP/1.1" 200 24314
58.96.182.227 - - [10/Oct/2015:00:15:20 +0800] "GET http://www.baidu.com/ HTTP/1.1" 302 -
58.96.182.227 - - [10/Oct/2015:00:15:20 +0800] "GET http://www.baidu.com/sxzn/index.action HTTP/1.1" 200 18735
58.32.44.98 - - [10/Oct/2015:00:16:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:00:16:04 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [10/Oct/2015:00:17:15 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:17:15 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:00:17:19 +0800] "GET / HTTP/1.1" 302 -
112.124.127.64 - - [10/Oct/2015:00:18:44 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:19:07 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:19:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:00:19:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:00:19:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [10/Oct/2015:00:21:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:00:21:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [10/Oct/2015:00:22:15 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:22:15 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:00:22:19 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:23:22 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:23:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [10/Oct/2015:00:23:44 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:24:06 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:24:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:00:24:09 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:00:24:09 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [10/Oct/2015:00:26:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:00:26:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
117.21.176.241 - - [10/Oct/2015:00:26:33 +0800] "GET /include/fckeditor/editor/ HTTP/1.1" 404 1030
112.238.191.38 - - [10/Oct/2015:00:27:09 +0800] "GET http://pay.163.com/index.jsp HTTP/1.1" 302 -
112.238.191.38 - - [10/Oct/2015:00:27:09 +0800] "GET http://pay.163.com/sxzn/index.action HTTP/1.1" 200 18517
115.28.196.232 - - [10/Oct/2015:00:27:19 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:28:08 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:28:08 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [10/Oct/2015:00:28:44 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:29:07 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:29:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:00:29:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:00:29:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
61.149.81.22 - - [10/Oct/2015:00:29:36 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:00:29:36 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18819
58.32.44.98 - - [10/Oct/2015:00:31:05 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:00:31:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:00:32:19 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:33:07 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:33:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [10/Oct/2015:00:33:44 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:34:06 +0800] "HEAD / HTTP/1.1" 302 -
