66.249.69.123 - - [25/Aug/2016:00:00:02 +0800] "GET /http_type/tm/jqzoom.css HTTP/1.1" 200 1080
66.249.69.119 - - [25/Aug/2016:00:00:07 +0800] "GET /sxzn/inc/topFrame.jsp HTTP/1.1" 200 2567
61.149.81.22 - - [25/Aug/2016:00:01:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [25/Aug/2016:00:01:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [25/Aug/2016:00:03:21 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [25/Aug/2016:00:03:21 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
68.180.231.62 - - [25/Aug/2016:00:03:30 +0800] "GET /sxzn/foreground/browseMetadata.action?d-49747-p=1 HTTP/1.1" 200 26368
65.55.210.128 - - [25/Aug/2016:00:03:53 +0800] "GET /clim/navigation/style.css HTTP/1.1" 404 223
65.55.210.128 - - [25/Aug/2016:00:03:53 +0800] "GET /clim/advanced/images/Moff.gif HTTP/1.1" 200 53
65.55.210.128 - - [25/Aug/2016:00:03:53 +0800] "GET /clim/advanced/images/open_node.gif HTTP/1.1" 200 79
65.55.210.128 - - [25/Aug/2016:00:03:53 +0800] "GET /clim/advanced/images/grid.gif HTTP/1.1" 200 987
65.55.210.128 - - [25/Aug/2016:00:03:53 +0800] "GET /clim/advanced/images/vertline.gif HTTP/1.1" 200 63
65.55.210.128 - - [25/Aug/2016:00:03:53 +0800] "GET /clim/advanced/images/line_05.gif HTTP/1.1" 200 65
65.55.210.128 - - [25/Aug/2016:00:03:53 +0800] "GET /clim/advanced/images/open_folder.gif HTTP/1.1" 200 568
65.55.210.128 - - [25/Aug/2016:00:03:54 +0800] "GET /clim/advanced/images/line_05_last.gif HTTP/1.1" 200 62
65.55.210.128 - - [25/Aug/2016:00:03:54 +0800] "GET /clim/advanced/images/open_lastnode.gif HTTP/1.1" 200 78
65.55.210.128 - - [25/Aug/2016:00:03:53 +0800] "GET /clim/advanced/images/doc.gif HTTP/1.1" 200 1014
65.55.210.128 - - [25/Aug/2016:00:03:54 +0800] "GET /clim/advanced/images/tf.gif HTTP/1.1" 200 992
65.55.210.128 - - [25/Aug/2016:00:03:54 +0800] "GET /clim/advanced/images/node.gif HTTP/1.1" 200 82
65.55.210.128 - - [25/Aug/2016:00:03:54 +0800] "GET /clim/advanced/images/blank.gif HTTP/1.1" 200 135
65.55.210.128 - - [25/Aug/2016:00:03:54 +0800] "GET /clim/advanced/images/lastnode.gif HTTP/1.1" 200 80
65.55.210.128 - - [25/Aug/2016:00:03:54 +0800] "GET /clim/advanced/images/folder.gif HTTP/1.1" 200 560
65.55.210.128 - - [25/Aug/2016:00:03:54 +0800] "GET /clim/images/climintro2.jpg HTTP/1.1" 200 11519
65.55.210.128 - - [25/Aug/2016:00:03:54 +0800] "GET /clim/images/pretty2.jpg HTTP/1.1" 200 23317
65.55.210.128 - - [25/Aug/2016:00:03:54 +0800] "GET /clim/images/climintro1.jpg HTTP/1.1" 200 9023
65.55.210.128 - - [25/Aug/2016:00:03:54 +0800] "GET /clim/images/climintro4.jpg HTTP/1.1" 200 29824
65.55.210.128 - - [25/Aug/2016:00:03:55 +0800] "GET /sxzn/images/doc_02.gif HTTP/1.1" 200 55
65.55.210.128 - - [25/Aug/2016:00:03:55 +0800] "GET /sxzn/images/logo.jpg HTTP/1.1" 200 38590
58.32.44.98 - - [25/Aug/2016:00:04:02 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [25/Aug/2016:00:04:03 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [25/Aug/2016:00:04:39 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [25/Aug/2016:00:04:40 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [25/Aug/2016:00:06:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [25/Aug/2016:00:06:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
42.156.137.107 - - [25/Aug/2016:00:06:52 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=78A8D0F11CA38ED4A966CB764CB39620 HTTP/1.1" 200 26368
111.192.102.34 - - [25/Aug/2016:00:08:22 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [25/Aug/2016:00:08:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [25/Aug/2016:00:09:02 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [25/Aug/2016:00:09:03 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [25/Aug/2016:00:09:39 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [25/Aug/2016:00:09:40 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
117.136.69.163 - - [25/Aug/2016:00:11:01 +0800] "GET /zszx/map/photo/cgzai/cgndys.bmp HTTP/1.1" 200 630168
61.149.81.22 - - [25/Aug/2016:00:11:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [25/Aug/2016:00:11:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
42.156.137.107 - - [25/Aug/2016:00:13:12 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=C4CF34844F95030F7C4947FABC6748BF HTTP/1.1" 200 26368
111.192.102.34 - - [25/Aug/2016:00:13:21 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [25/Aug/2016:00:13:21 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [25/Aug/2016:00:14:01 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [25/Aug/2016:00:14:02 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [25/Aug/2016:00:14:40 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [25/Aug/2016:00:14:40 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [25/Aug/2016:00:16:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [25/Aug/2016:00:16:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [25/Aug/2016:00:18:21 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [25/Aug/2016:00:18:21 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [25/Aug/2016:00:19:02 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [25/Aug/2016:00:19:02 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.137.107 - - [25/Aug/2016:00:19:13 +0800] "GET /sxzn/foreground/viewMetadata.action?id=120 HTTP/1.1" 200 9483
113.95.12.85 - - [25/Aug/2016:00:19:40 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [25/Aug/2016:00:19:40 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [25/Aug/2016:00:21:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [25/Aug/2016:00:21:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
42.156.137.107 - - [25/Aug/2016:00:22:57 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=81608FB962A5696F2F8ABE5316F8B458 HTTP/1.1" 200 26368
111.192.102.34 - - [25/Aug/2016:00:23:21 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [25/Aug/2016:00:23:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
36.110.147.76 - - [25/Aug/2016:00:23:53 +0800] "GET /robots.txt HTTP/1.1" 200 68
58.32.44.98 - - [25/Aug/2016:00:24:02 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [25/Aug/2016:00:24:02 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
36.110.147.76 - - [25/Aug/2016:00:24:26 +0800] "GET / HTTP/1.1" 302 -
36.110.147.76 - - [25/Aug/2016:00:24:26 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
66.249.69.119 - - [25/Aug/2016:00:24:26 +0800] "GET /zszx/sdb2-tx1.htm HTTP/1.1" 304 -
36.110.147.76 - - [25/Aug/2016:00:24:26 +0800] "GET /sxzn/css/index.css HTTP/1.1" 200 1730
36.110.147.76 - - [25/Aug/2016:00:24:26 +0800] "GET /sxzn/css/layout.css HTTP/1.1" 200 6591
36.110.147.76 - - [25/Aug/2016:00:24:26 +0800] "GET /sxzn/images/doc_02.gif HTTP/1.1" 200 55
36.110.147.76 - - [25/Aug/2016:00:24:26 +0800] "GET /sxzn/images/bg.jpg HTTP/1.1" 200 19679
36.110.147.76 - - [25/Aug/2016:00:24:26 +0800] "GET /sxzn/images/Search_icon.gif HTTP/1.1" 200 344
36.110.147.76 - - [25/Aug/2016:00:24:27 +0800] "GET /sxzn/images/icon.gif HTTP/1.1" 200 119
36.110.147.76 - - [25/Aug/2016:00:24:26 +0800] "GET /sxzn/images/new.gif HTTP/1.1" 200 1816
36.110.147.76 - - [25/Aug/2016:00:24:26 +0800] "GET /sxzn/images/banner.jpg HTTP/1.1" 200 38590
36.110.147.76 - - [25/Aug/2016:00:24:27 +0800] "GET /sxzn/images/new1.gif HTTP/1.1" 200 1724
36.110.147.76 - - [25/Aug/2016:00:24:27 +0800] "GET /sxzn/images/point.gif HTTP/1.1" 200 134
36.110.147.76 - - [25/Aug/2016:00:24:27 +0800] "GET /sxzn/images/options.png HTTP/1.1" 200 615
36.110.147.76 - - [25/Aug/2016:00:24:26 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1187
36.110.147.76 - - [25/Aug/2016:00:24:27 +0800] "GET /sxzn/images/leftSubTitle_bg.gif HTTP/1.1" 200 53
36.110.147.76 - - [25/Aug/2016:00:24:27 +0800] "GET /sxzn/images/yonghu.jpg HTTP/1.1" 200 31309
36.110.147.76 - - [25/Aug/2016:00:24:26 +0800] "GET /sxzn/images/banner_home.jpg HTTP/1.1" 200 50428
36.110.147.76 - - [25/Aug/2016:00:24:27 +0800] "GET /sxzn/images/zh-cn.gif HTTP/1.1" 200 891
113.95.12.85 - - [25/Aug/2016:00:24:39 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [25/Aug/2016:00:24:40 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [25/Aug/2016:00:26:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [25/Aug/2016:00:26:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
42.156.137.107 - - [25/Aug/2016:00:26:33 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=9090EE952F6D2E0D531E0A7D5AF647EC HTTP/1.1" 200 26368
111.192.102.34 - - [25/Aug/2016:00:28:21 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [25/Aug/2016:00:28:21 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [25/Aug/2016:00:29:02 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [25/Aug/2016:00:29:02 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [25/Aug/2016:00:29:39 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [25/Aug/2016:00:29:40 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.137.107 - - [25/Aug/2016:00:29:54 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=063C284610065CF9E0A609BE9F00E5F0 HTTP/1.1" 200 26368
42.156.138.107 - - [25/Aug/2016:00:29:54 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=B5822C0C16AA3FEDC7EE19998121AB8F HTTP/1.1" 200 26368
42.156.139.107 - - [25/Aug/2016:00:29:55 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=42F17BD6642A93E8D3A653E1FCA7ACE6 HTTP/1.1" 200 26368
61.149.81.22 - - [25/Aug/2016:00:29:56 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [25/Aug/2016:00:29:56 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18819
61.149.81.22 - - [25/Aug/2016:00:31:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [25/Aug/2016:00:31:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [25/Aug/2016:00:33:21 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [25/Aug/2016:00:33:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.137.107 - - [25/Aug/2016:00:33:33 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=FA52C37FEBF54C09748BF0F7B00585BF HTTP/1.1" 200 26368
42.156.138.107 - - [25/Aug/2016:00:33:33 +0800] "GET /sxzn/viewMetadata.action?id=8 HTTP/1.1" 200 9384
42.156.139.107 - - [25/Aug/2016:00:33:33 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=557F453924B6074A9854673B6D7AB6D1 HTTP/1.1" 200 26368
58.32.44.98 - - [25/Aug/2016:00:34:02 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [25/Aug/2016:00:34:03 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [25/Aug/2016:00:34:39 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [25/Aug/2016:00:34:40 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
204.79.180.60 - - [25/Aug/2016:00:35:34 +0800] "GET / HTTP/1.1" 302 -
204.79.180.153 - - [25/Aug/2016:00:35:36 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
204.79.180.91 - - [25/Aug/2016:00:35:38 +0800] "GET /sxzn/css/index.css HTTP/1.1" 200 1730
204.79.180.135 - - [25/Aug/2016:00:35:37 +0800] "GET /sxzn/css/layout.css HTTP/1.1" 200 6591
204.79.180.76 - - [25/Aug/2016:00:35:38 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1205
66.249.69.127 - - [25/Aug/2016:00:35:42 +0800] "GET /sxzn/css/metadata.css HTTP/1.1" 200 945
36.111.129.140 - - [25/Aug/2016:00:35:54 +0800] "GET /clim/images/climintro2.jpg HTTP/1.1" 200 11519
61.149.81.22 - - [25/Aug/2016:00:36:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [25/Aug/2016:00:36:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
42.156.137.107 - - [25/Aug/2016:00:37:13 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=1FB418C5350F9A37483838D63D3CDBF2 HTTP/1.1" 200 26368
