68.180.228.50 - - [10/Jan/2017:00:00:05 +0800] "GET /sxzn/login.action;jsessionid=99AA4408AC09AA888F23E0BF5B0D7FB6 HTTP/1.1" 200 7386
58.32.44.98 - - [10/Jan/2017:00:01:16 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:00:01:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.12.161 - - [10/Jan/2017:00:01:24 +0800] "GET / HTTP/1.1" 302 -
61.149.12.161 - - [10/Jan/2017:00:01:24 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
125.84.178.141 - - [10/Jan/2017:00:01:38 +0800] "GET /zszx/map/photo/80huagtu/jh99.bmp HTTP/1.1" 200 867098
111.192.102.34 - - [10/Jan/2017:00:03:59 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:00:03:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:00:04:22 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:00:04:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:00:04:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:00:04:32 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
58.32.44.98 - - [10/Jan/2017:00:06:16 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:00:06:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [10/Jan/2017:00:08:58 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:00:08:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:00:09:22 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:00:09:23 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:00:09:32 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:00:09:32 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
58.32.44.98 - - [10/Jan/2017:00:11:16 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:00:11:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [10/Jan/2017:00:14:08 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:00:14:08 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:00:14:25 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:00:14:25 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:00:14:32 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:00:14:32 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
58.32.44.98 - - [10/Jan/2017:00:16:16 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:00:16:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:00:17:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=327B79A0CB23F5EBE47278A67DBC1D16 HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:00:17:19 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=039FFC61F5FAA42F685FF08671874B65 HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:00:17:20 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=00C4B85EF5C4E0A36F49B5E37D42B4A1 HTTP/1.1" 200 26368
42.156.138.109 - - [10/Jan/2017:00:17:20 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=7C402EB3B8E874436EED03FC5EA69D31 HTTP/1.1" 200 26368
42.156.139.109 - - [10/Jan/2017:00:17:21 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=A74FD71C103247CEE95AD43F17018E7B HTTP/1.1" 200 26368
111.192.102.34 - - [10/Jan/2017:00:18:58 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:00:18:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:00:19:22 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:00:19:23 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:00:19:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:00:19:32 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
42.120.160.109 - - [10/Jan/2017:00:20:41 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=7E17B0429EC6B392E7C6C132D1D8C984 HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:00:20:48 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=24EECBF08FCA048122515F6CE56AA548 HTTP/1.1" 200 26368
119.147.207.158 - - [10/Jan/2017:00:20:50 +0800] "GET /clim/advanced/index.jsp HTTP/1.1" 200 723
101.226.66.173 - - [10/Jan/2017:00:20:59 +0800] "GET /clim/advanced/index.jsp HTTP/1.1" 200 723
101.226.66.173 - - [10/Jan/2017:00:20:59 +0800] "GET /sxzn/inc/topFrame.jsp HTTP/1.1" 200 2537
101.226.66.173 - - [10/Jan/2017:00:20:59 +0800] "GET /clim/advanced/blackPage.jsp HTTP/1.1" 200 -
101.226.66.173 - - [10/Jan/2017:00:21:00 +0800] "GET /clim/advanced/left.jsp HTTP/1.1" 200 20497
101.226.66.173 - - [10/Jan/2017:00:21:00 +0800] "GET /clim/climintro.jsp HTTP/1.1" 200 3270
58.32.44.98 - - [10/Jan/2017:00:21:18 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:00:21:19 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [10/Jan/2017:00:23:58 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:00:23:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:00:24:22 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:00:24:23 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:00:24:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:00:24:32 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
42.120.160.109 - - [10/Jan/2017:00:25:17 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=06242912E4141D7683AE2C83E1904636 HTTP/1.1" 200 26368
