40.77.167.133 - - [05/Nov/2017:23:59:47 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 200 2013696
61.149.12.161 - - [06/Nov/2017:00:00:35 +0800] "GET / HTTP/1.1" 302 -
61.149.12.161 - - [06/Nov/2017:00:00:35 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
58.32.44.98 - - [06/Nov/2017:00:00:37 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [06/Nov/2017:00:00:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
171.111.153.177 - - [06/Nov/2017:00:00:42 +0800] "GET / HTTP/1.1" 302 -
171.111.153.177 - - [06/Nov/2017:00:00:42 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18815
106.11.156.165 - - [06/Nov/2017:00:01:19 +0800] "G\xca\x01 /sxzn/foreground/browseMetada" 404 1117
106.11.158.171 - - [06/Nov/2017:00:01:20 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=B97EFF5EE0F24A0639F7916FF1FF07E6 HTTP/1.1" 200 26368
106.11.155.169 - - [06/Nov/2017:00:01:21 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=BF52FFEA5F725F6093BA04CCB389DA47 HTTP/1.1" 200 26368
113.95.12.85 - - [06/Nov/2017:00:01:34 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [06/Nov/2017:00:01:35 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [06/Nov/2017:00:01:53 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [06/Nov/2017:00:01:53 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [06/Nov/2017:00:04:25 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [06/Nov/2017:00:04:25 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
171.111.153.177 - - [06/Nov/2017:00:04:44 +0800] "GET / HTTP/1.1" 302 -
171.111.153.177 - - [06/Nov/2017:00:04:47 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18752
58.32.44.98 - - [06/Nov/2017:00:05:34 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [06/Nov/2017:00:05:34 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
171.111.153.177 - - [06/Nov/2017:00:06:13 +0800] "GET / HTTP/1.1" 302 -
171.111.153.177 - - [06/Nov/2017:00:06:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18815
111.206.71.34 - - [06/Nov/2017:00:06:20 +0800] "GET / HTTP/1.1" 302 -
111.206.71.43 - - [06/Nov/2017:00:06:20 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
113.95.12.85 - - [06/Nov/2017:00:06:34 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [06/Nov/2017:00:06:35 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [06/Nov/2017:00:06:53 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [06/Nov/2017:00:06:53 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
106.11.155.169 - - [06/Nov/2017:00:08:39 +0800] "GET /sxzn/foreground/viewMetadata.action?id=134 HTTP/1.1" 200 9483
106.11.156.165 - - [06/Nov/2017:00:08:40 +0800] "GET /html/yellow-river/index.htm HTTP/1.1" 200 723
61.149.81.22 - - [06/Nov/2017:00:09:25 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [06/Nov/2017:00:09:25 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
171.111.153.177 - - [06/Nov/2017:00:10:09 +0800] "GET / HTTP/1.1" 302 -
